i,j,text_a,text_b,type_a,type_b,created_a,created_b,similarity,action
76,436,Renew driving license this month,Renew driving license this month,task,task,2026-04-01,2026-04-12,1.0,DUPLICATE
77,132,User wants to run a marathon next year,User wants to run a marathon next year,goal,goal,2026-04-22,2026-04-09,1.0,DUPLICATE
77,171,User wants to run a marathon next year,User wants to run a marathon next year,goal,goal,2026-04-22,2026-07-27,1.0,DUPLICATE
77,222,User wants to run a marathon next year,User wants to run a marathon next year,goal,goal,2026-04-22,2026-07-16,1.0,DUPLICATE
77,248,User wants to run a marathon next year,User plans to run a marathon next year,goal,goal,2026-04-22,2026-06-25,0.935,NEAR_DUPLICATE
77,254,User wants to run a marathon next year,User plans to run a marathon next year,goal,goal,2026-04-22,2026-04-26,0.935,NEAR_DUPLICATE
77,313,User wants to run a marathon next year,User wants to run a marathon next year,goal,goal,2026-04-22,2026-03-19,1.0,DUPLICATE
77,346,User wants to run a marathon next year,User plans to run a marathon next year,goal,goal,2026-04-22,2026-04-26,0.935,NEAR_DUPLICATE
77,416,User wants to run a marathon next year,User wants to run a marathon next year,goal,goal,2026-04-22,2026-07-06,1.0,DUPLICATE
77,424,User wants to run a marathon next year,User wants to run a marathon next year,goal,goal,2026-04-22,2026-04-19,1.0,DUPLICATE
77,478,User wants to run a marathon next year,User plans to run a marathon next year,goal,goal,2026-04-22,2026-06-22,0.935,NEAR_DUPLICATE
77,516,User wants to run a marathon next year,User wants to run a marathon next year,goal,goal,2026-04-22,2026-05-30,1.0,DUPLICATE
77,517,User wants to run a marathon next year,User completed a marathon,goal,fact,2026-04-22,2026-06-20,0.743,EVOLVING
78,156,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-04-30,2026-05-19,1.0,DUPLICATE
78,199,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-04-30,2026-02-13,1.0,DUPLICATE
78,230,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-04-30,2026-02-24,1.0,DUPLICATE
78,347,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-04-30,2026-04-01,1.0,DUPLICATE
78,448,User watched a movie yesterday,User watched a movie yesterday,event,event,2026-04-30,2026-05-03,1.0,DUPLICATE
79,100,User owns a dog named Max,User owns a dog named Max,fact,fact,2026-06-07,2026-06-28,1.0,DUPLICATE
79,115,User owns a dog named Max,User owns a dog named Max,fact,fact,2026-06-07,2026-03-18,1.0,DUPLICATE
79,118,User owns a dog named Max,User owns a dog named Max,fact,fact,2026-06-07,2026-06-29,1.0,DUPLICATE
79,177,User owns a dog named Max,User owns a dog named Max,fact,fact,2026-06-07,2026-05-12,1.0,DUPLICATE
79,193,User owns a dog named Max,User owns a dog named Max,fact,fact,2026-06-07,2026-04-07,1.0,DUPLICATE
79,264,User owns a dog named Max,User owns a dog named Max,fact,fact,2026-06-07,2026-07-24,1.0,DUPLICATE
79,300,User owns a dog named Max,User owns a dog named Max,fact,fact,2026-06-07,2026-06-06,1.0,DUPLICATE
79,301,User owns a dog named Max,User owns a dog named Max,fact,fact,2026-06-07,2026-07-17,1.0,DUPLICATE
79,412,User owns a dog named Max,User owns a dog named Max,fact,fact,2026-06-07,2026-03-20,1.0,DUPLICATE
79,484,User owns a dog named Max,User owns a dog named Max,fact,fact,2026-06-07,2026-07-20,1.0,DUPLICATE
80,134,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-03-31,2026-05-30,1.0,DUPLICATE
80,155,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-03-31,2026-02-28,1.0,DUPLICATE
80,231,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-03-31,2026-03-15,1.0,DUPLICATE
80,240,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-03-31,2026-06-25,1.0,DUPLICATE
80,243,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-03-31,2026-06-15,1.0,DUPLICATE
80,259,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-03-31,2026-05-06,1.0,DUPLICATE
80,296,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-03-31,2026-02-11,1.0,DUPLICATE
80,310,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-03-31,2026-03-28,1.0,DUPLICATE
80,339,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-03-31,2026-03-04,1.0,DUPLICATE
80,344,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-03-31,2026-05-13,1.0,DUPLICATE
80,354,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-03-31,2026-04-05,1.0,DUPLICATE
80,355,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-03-31,2026-05-01,1.0,DUPLICATE
80,361,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-03-31,2026-04-04,1.0,DUPLICATE
80,376,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-03-31,2026-06-06,1.0,DUPLICATE
80,411,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-03-31,2026-04-25,1.0,DUPLICATE
80,452,User attended a wedding last weekend,User attended a wedding last weekend,event,event,2026-03-31,2026-02-15,1.0,DUPLICATE
81,102,User has a cat named Whiskers,User has a cat named Whiskers,fact,fact,2026-06-17,2026-06-05,1.0,DUPLICATE
81,114,User has a cat named Whiskers,User has a cat named Whiskers,fact,fact,2026-06-17,2026-04-16,1.0,DUPLICATE
81,154,User has a cat named Whiskers,User has a cat named Whiskers,fact,fact,2026-06-17,2026-05-04,1.0,DUPLICATE
81,218,User has a cat named Whiskers,User has a cat named Whiskers,fact,fact,2026-06-17,2026-03-02,1.0,DUPLICATE
81,375,User has a cat named Whiskers,User has a cat named Whiskers,fact,fact,2026-06-17,2026-05-29,1.0,DUPLICATE
81,383,User has a cat named Whiskers,User has a cat named Whiskers,fact,fact,2026-06-17,2026-03-14,1.0,DUPLICATE
81,402,User has a cat named Whiskers,User has a cat named Whiskers,fact,fact,2026-06-17,2026-04-18,1.0,DUPLICATE
81,409,User has a cat named Whiskers,User has a cat named Whiskers,fact,fact,2026-06-17,2026-07-21,1.0,DUPLICATE
81,441,User has a cat named Whiskers,User has a cat named Whiskers,fact,fact,2026-06-17,2026-06-02,1.0,DUPLICATE
82,125,Send the report to manager by end of day,Send the report to manager by end of day,task,task,2026-06-08,2026-02-09,1.0,DUPLICATE
82,163,Send the report to manager by end of day,Send the report to manager by end of day,task,task,2026-06-08,2026-07-03,1.0,DUPLICATE
82,238,Send the report to manager by end of day,Send the report to manager by end of day,task,task,2026-06-08,2026-04-15,1.0,DUPLICATE
82,333,Send the report to manager by end of day,Send the report to manager by end of day,task,task,2026-06-08,2026-06-11,1.0,DUPLICATE
82,403,Send the report to manager by end of day,Send the report to manager by end of day,task,task,2026-06-08,2026-07-07,1.0,DUPLICATE
82,485,Send the report to manager by end of day,Send the report to manager by end of day,task,task,2026-06-08,2026-02-16,1.0,DUPLICATE
83,95,User visited the doctor last month,User visited the doctor last month,event,event,2026-06-28,2026-03-16,1.0,DUPLICATE
83,117,User visited the doctor last month,User visited the doctor last month,event,event,2026-06-28,2026-05-28,1.0,DUPLICATE
83,123,User visited the doctor last month,User visited the doctor last month,event,event,2026-06-28,2026-03-11,1.0,DUPLICATE
83,179,User visited the doctor last month,User visited the doctor last month,event,event,2026-06-28,2026-02-07,1.0,DUPLICATE
83,196,User visited the doctor last month,User visited the doctor last month,event,event,2026-06-28,2026-06-20,1.0,DUPLICATE
83,228,User visited the doctor last month,User visited the doctor last month,event,event,2026-06-28,2026-02-05,1.0,DUPLICATE
83,287,User visited the doctor last month,User visited the doctor last month,event,event,2026-06-28,2026-02-08,1.0,DUPLICATE
83,316,User visited the doctor last month,User visited the doctor last month,event,event,2026-06-28,2026-05-27,1.0,DUPLICATE
83,338,User visited the doctor last month,User visited the doctor last month,event,event,2026-06-28,2026-05-06,1.0,DUPLICATE
83,408,User visited the doctor last month,User visited the doctor last month,event,event,2026-06-28,2026-05-23,1.0,DUPLICATE
83,450,User visited the doctor last month,User visited the doctor last month,event,event,2026-06-28,2026-04-28,1.0,DUPLICATE
83,463,User visited the doctor last month,User visited the doctor last month,event,event,2026-06-28,2026-03-25,1.0,DUPLICATE
83,497,User visited the doctor last month,User visited the doctor last month,event,event,2026-06-28,2026-06-10,1.0,DUPLICATE
84,122,User attended a college hackathon,User attended a college hackathon,event,event,2026-05-02,2026-03-25,1.0,DUPLICATE
84,128,User attended a college hackathon,User attended a college hackathon,event,event,2026-05-02,2026-04-18,1.0,DUPLICATE
84,187,User attended a college hackathon,User attended a college hackathon,event,event,2026-05-02,2026-02-16,1.0,DUPLICATE
84,226,User attended a college hackathon,User attended a college hackathon,event,event,2026-05-02,2026-04-10,1.0,DUPLICATE
84,245,User attended a college hackathon,User attended a college hackathon,event,event,2026-05-02,2026-07-21,1.0,DUPLICATE
84,256,User attended a college hackathon,User attended a college hackathon,event,event,2026-05-02,2026-02-22,1.0,DUPLICATE
84,263,User attended a college hackathon,User attended a college hackathon,event,event,2026-05-02,2026-02-20,1.0,DUPLICATE
84,304,User attended a college hackathon,User attended a college hackathon,event,event,2026-05-02,2026-06-14,1.0,DUPLICATE
84,318,User attended a college hackathon,User attended a college hackathon,event,event,2026-05-02,2026-07-13,1.0,DUPLICATE
84,328,User attended a college hackathon,User attended a college hackathon,event,event,2026-05-02,2026-07-20,1.0,DUPLICATE
84,378,User attended a college hackathon,User attended a college hackathon,event,event,2026-05-02,2026-07-04,1.0,DUPLICATE
84,390,User attended a college hackathon,User attended a college hackathon,event,event,2026-05-02,2026-04-06,1.0,DUPLICATE
84,397,User attended a college hackathon,User attended a college hackathon,event,event,2026-05-02,2026-02-23,1.0,DUPLICATE
84,410,User attended a college hackathon,User attended a college hackathon,event,event,2026-05-02,2026-07-09,1.0,DUPLICATE
84,457,User attended a college hackathon,User attended a college hackathon,event,event,2026-05-02,2026-02-03,1.0,DUPLICATE
85,131,Renew driving license this month,Renew driving license this month,task,task,2026-04-08,2026-02-01,1.0,DUPLICATE
85,208,Renew driving license this month,Renew driving license this month,task,task,2026-04-08,2026-04-08,1.0,DUPLICATE
85,211,Renew driving license this month,Renew driving license this month,task,task,2026-04-08,2026-03-30,1.0,DUPLICATE
85,234,Renew driving license this month,Renew driving license this month,task,task,2026-04-08,2026-04-06,1.0,DUPLICATE
85,237,Renew driving license this month,Renew driving license this month,task,task,2026-04-08,2026-02-22,1.0,DUPLICATE
85,277,Renew driving license this month,Renew driving license this month,task,task,2026-04-08,2026-05-15,1.0,DUPLICATE
85,286,Renew driving license this month,Renew driving license this month,task,task,2026-04-08,2026-04-03,1.0,DUPLICATE
85,322,Renew driving license this month,Renew driving license this month,task,task,2026-04-08,2026-07-01,1.0,DUPLICATE
85,367,Renew driving license this month,Renew driving license this month,task,task,2026-04-08,2026-03-26,1.0,DUPLICATE
85,391,Renew driving license this month,Renew driving license this month,task,task,2026-04-08,2026-03-28,1.0,DUPLICATE
85,413,Renew driving license this month,Renew driving license this month,task,task,2026-04-08,2026-06-13,1.0,DUPLICATE
85,432,Renew driving license this month,Renew driving license this month,task,task,2026-04-08,2026-07-05,1.0,DUPLICATE
85,436,Renew driving license this month,Renew driving license this month,task,task,2026-04-08,2026-04-12,1.0,DUPLICATE
86,90,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-04-08,2026-03-08,1.0,DUPLICATE
86,111,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-04-08,2026-05-18,1.0,DUPLICATE
86,113,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-04-08,2026-05-16,1.0,DUPLICATE
86,137,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-04-08,2026-07-01,1.0,DUPLICATE
86,188,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-04-08,2026-02-17,1.0,DUPLICATE
86,223,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-04-08,2026-04-21,1.0,DUPLICATE
86,239,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-04-08,2026-02-04,1.0,DUPLICATE
86,265,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-04-08,2026-07-13,1.0,DUPLICATE
86,317,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-04-08,2026-06-15,1.0,DUPLICATE
86,370,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-04-08,2026-06-16,1.0,DUPLICATE
86,380,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-04-08,2026-06-22,1.0,DUPLICATE
86,386,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-04-08,2026-07-28,1.0,DUPLICATE
86,449,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-04-08,2026-02-12,1.0,DUPLICATE
86,456,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-04-08,2026-04-23,1.0,DUPLICATE
86,482,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-04-08,2026-03-18,1.0,DUPLICATE
87,405,User studied at NK Orchid College,User studied at NK Orchid College,fact,fact,2026-04-04,2026-01-31,1.0,DUPLICATE
87,487,User studied at NK Orchid College,User studied at NK Orchid College,fact,fact,2026-04-04,2026-07-21,1.0,DUPLICATE
88,178,User's phone number ends in 4471,User's phone number ends in 4471,fact,fact,2026-05-06,2026-04-09,1.0,DUPLICATE
88,180,User's phone number ends in 4471,User's phone number ends in 4471,fact,fact,2026-05-06,2026-07-09,1.0,DUPLICATE
88,191,User's phone number ends in 4471,User's phone number ends in 4471,fact,fact,2026-05-06,2026-03-04,1.0,DUPLICATE
88,192,User's phone number ends in 4471,User's phone number ends in 4471,fact,fact,2026-05-06,2026-07-02,1.0,DUPLICATE
88,284,User's phone number ends in 4471,User's phone number ends in 4471,fact,fact,2026-05-06,2026-05-11,1.0,DUPLICATE
88,291,User's phone number ends in 4471,User's phone number ends in 4471,fact,fact,2026-05-06,2026-06-25,1.0,DUPLICATE
88,406,User's phone number ends in 4471,User's phone number ends in 4471,fact,fact,2026-05-06,2026-02-22,1.0,DUPLICATE
88,465,User's phone number ends in 4471,User's phone number ends in 4471,fact,fact,2026-05-06,2026-06-29,1.0,DUPLICATE
88,489,User's phone number ends in 4471,User's phone number ends in 4471,fact,fact,2026-05-06,2026-06-25,1.0,DUPLICATE
89,108,User is saving up to buy a house,User wants to buy a house within five years,goal,goal,2026-01-30,2026-03-12,0.722,RELATED
89,109,User is saving up to buy a house,User is saving up to buy a house,goal,goal,2026-01-30,2026-05-25,1.0,DUPLICATE
89,116,User is saving up to buy a house,User wants to buy a house within five years,goal,goal,2026-01-30,2026-06-25,0.722,RELATED
89,119,User is saving up to buy a house,User wants to buy a house within five years,goal,goal,2026-01-30,2026-05-20,0.722,RELATED
89,146,User is saving up to buy a house,User is saving up to buy a house,goal,goal,2026-01-30,2026-04-22,1.0,DUPLICATE
89,159,User is saving up to buy a house,User wants to buy a house within five years,goal,goal,2026-01-30,2026-02-27,0.722,RELATED
89,198,User is saving up to buy a house,User wants to buy a house within five years,goal,goal,2026-01-30,2026-04-23,0.722,RELATED
89,221,User is saving up to buy a house,User wants to buy a house within five years,goal,goal,2026-01-30,2026-04-18,0.722,RELATED
89,227,User is saving up to buy a house,User is saving up to buy a house,goal,goal,2026-01-30,2026-04-08,1.0,DUPLICATE
89,257,User is saving up to buy a house,User wants to buy a house within five years,goal,goal,2026-01-30,2026-04-26,0.722,RELATED
89,260,User is saving up to buy a house,User is saving up to buy a house,goal,goal,2026-01-30,2026-05-03,1.0,DUPLICATE
89,267,User is saving up to buy a house,User is saving up to buy a house,goal,goal,2026-01-30,2026-03-27,1.0,DUPLICATE
89,283,User is saving up to buy a house,User is saving up to buy a house,goal,goal,2026-01-30,2026-03-04,1.0,DUPLICATE
89,326,User is saving up to buy a house,User is saving up to buy a house,goal,goal,2026-01-30,2026-07-04,1.0,DUPLICATE
89,373,User is saving up to buy a house,User wants to buy a house within five years,goal,goal,2026-01-30,2026-07-18,0.722,RELATED
89,492,User is saving up to buy a house,User wants to buy a house within five years,goal,goal,2026-01-30,2026-02-13,0.722,RELATED
89,498,User is saving up to buy a house,User wants to buy a house within five years,goal,goal,2026-01-30,2026-05-13,0.722,RELATED
89,512,User is saving up to buy a house,User wants to buy a house within five years,goal,goal,2026-01-30,2026-05-13,0.722,RELATED
89,513,User is saving up to buy a house,User bought a house,goal,fact,2026-01-30,2026-06-08,0.748,EVOLVING
89,518,User is saving up to buy a house,User is saving up to buy a house,goal,goal,2026-01-30,2026-04-12,1.0,DUPLICATE
89,519,User is saving up to buy a house,User bought a house,goal,fact,2026-01-30,2026-05-28,0.748,EVOLVING
90,111,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-03-08,2026-05-18,1.0,DUPLICATE
90,113,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-03-08,2026-05-16,1.0,DUPLICATE
90,137,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-03-08,2026-07-01,1.0,DUPLICATE
90,188,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-03-08,2026-02-17,1.0,DUPLICATE
90,223,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-03-08,2026-04-21,1.0,DUPLICATE
90,239,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-03-08,2026-02-04,1.0,DUPLICATE
90,265,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-03-08,2026-07-13,1.0,DUPLICATE
90,317,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-03-08,2026-06-15,1.0,DUPLICATE
90,370,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-03-08,2026-06-16,1.0,DUPLICATE
90,380,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-03-08,2026-06-22,1.0,DUPLICATE
90,386,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-03-08,2026-07-28,1.0,DUPLICATE
90,449,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-03-08,2026-02-12,1.0,DUPLICATE
90,456,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-03-08,2026-04-23,1.0,DUPLICATE
90,482,Return the library books by Thursday,Return the library books by Thursday,task,task,2026-03-08,2026-03-18,1.0,DUPLICATE
91,172,User lives in Solapur,User lives in Solapur,fact,fact,2026-05-14,2026-03-15,1.0,DUPLICATE
91,356,User lives in Solapur,User lives in Solapur,fact,fact,2026-05-14,2026-06-22,1.0,DUPLICATE
91,427,User lives in Solapur,User lives in Solapur,fact,fact,2026-05-14,2026-06-18,1.0,DUPLICATE
91,474,User lives in Solapur,User lives in Solapur,fact,fact,2026-05-14,2026-04-20,1.0,DUPLICATE
92,189,User wants to switch careers into AI,User wants to switch careers into AI,goal,goal,2026-03-09,2026-04-04,1.0,DUPLICATE
92,422,User wants to switch careers into AI,User wants to switch careers into AI,goal,goal,2026-03-09,2026-07-07,1.0,DUPLICATE
92,454,User wants to switch careers into AI,User wants to switch careers into AI,goal,goal,2026-03-09,2026-07-26,1.0,DUPLICATE
93,142,User wants to lose 5 kg,User wants to lose 5 kg,goal,goal,2026-04-03,2026-06-25,1.0,DUPLICATE
93,173,User wants to lose 5 kg,User wants to lose 5 kg,goal,goal,2026-04-03,2026-05-06,1.0,DUPLICATE
93,273,User wants to lose 5 kg,User wants to lose 5 kg,goal,goal,2026-04-03,2026-03-30,1.0,DUPLICATE
93,285,User wants to lose 5 kg,User wants to lose 5 kg,goal,goal,2026-04-03,2026-06-28,1.0,DUPLICATE
93,292,User wants to lose 5 kg,User wants to lose 5 kg,goal,goal,2026-04-03,2026-07-23,1.0,DUPLICATE
93,362,User wants to lose 5 kg,User wants to lose 5 kg,goal,goal,2026-04-03,2026-07-12,1.0,DUPLICATE
93,417,User wants to lose 5 kg,User wants to lose 5 kg,goal,goal,2026-04-03,2026-02-19,1.0,DUPLICATE
93,490,User wants to lose 5 kg,User wants to lose 5 kg,goal,goal,2026-04-03,2026-02-14,1.0,DUPLICATE
93,499,User wants to lose 5 kg,User wants to lose 5 kg,goal,goal,2026-04-03,2026-03-07,1.0,DUPLICATE
94,96,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-03-13,2026-03-14,0.919,NEAR_DUPLICATE
94,104,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-03-13,2026-05-30,0.919,NEAR_DUPLICATE
94,138,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-03-13,2026-02-10,0.919,NEAR_DUPLICATE
94,152,User is learning Spanish,User is learning Spanish,goal,goal,2026-03-13,2026-02-03,1.0,DUPLICATE
94,181,User is learning Spanish,User is learning Spanish,goal,goal,2026-03-13,2026-04-16,1.0,DUPLICATE
94,182,User is learning Spanish,User is learning Spanish,goal,goal,2026-03-13,2026-04-08,1.0,DUPLICATE
94,216,User is learning Spanish,User is learning Spanish,goal,goal,2026-03-13,2026-03-16,1.0,DUPLICATE
94,270,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-03-13,2026-05-16,0.919,NEAR_DUPLICATE
94,331,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-03-13,2026-07-03,0.919,NEAR_DUPLICATE
94,358,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-03-13,2026-06-29,0.919,NEAR_DUPLICATE
94,420,User is learning Spanish,User is learning Spanish,goal,goal,2026-03-13,2026-06-06,1.0,DUPLICATE
94,439,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-03-13,2026-03-30,0.919,NEAR_DUPLICATE
94,458,User is learning Spanish,User wants to learn Spanish,goal,goal,2026-03-13,2026-05-08,0.919,NEAR_DUPLICATE
94,510,User is learning Spanish,User is learning Spanish,goal,goal,2026-03-13,2026-05-09,1.0,DUPLICATE
94,511,User is learning Spanish,User is now fluent in Spanish,goal,fact,2026-03-13,2026-06-18,0.786,EVOLVING
95,117,User visited the doctor last month,User visited the doctor last month,event,event,2026-03-16,2026-05-28,1.0,DUPLICATE
95,123,User visited the doctor last month,User visited the doctor last month,event,event,2026-03-16,2026-03-11,1.0,DUPLICATE
95,179,User visited the doctor last month,User visited the doctor last month,event,event,2026-03-16,2026-02-07,1.0,DUPLICATE
95,196,User visited the doctor last month,User visited the doctor last month,event,event,2026-03-16,2026-06-20,1.0,DUPLICATE
95,228,User visited the doctor last month,User visited the doctor last month,event,event,2026-03-16,2026-02-05,1.0,DUPLICATE
95,287,User visited the doctor last month,User visited the doctor last month,event,event,2026-03-16,2026-02-08,1.0,DUPLICATE
95,316,User visited the doctor last month,User visited the doctor last month,event,event,2026-03-16,2026-05-27,1.0,DUPLICATE
95,338,User visited the doctor last month,User visited the doctor last month,event,event,2026-03-16,2026-05-06,1.0,DUPLICATE
95,408,User visited the doctor last month,User visited the doctor last month,event,event,2026-03-16,2026-05-23,1.0,DUPLICATE
95,450,User visited the doctor last month,User visited the doctor last month,event,event,2026-03-16,2026-04-28,1.0,DUPLICATE
95,463,User visited the doctor last month,User visited the doctor last month,event,event,2026-03-16,2026-03-25,1.0,DUPLICATE
95,497,User visited the doctor last month,User visited the doctor last month,event,event,2026-03-16,2026-06-10,1.0,DUPLICATE
96,104,User wants to learn Spanish,User wants to learn Spanish,goal,goal,2026-03-14,2026-05-30,1.0,DUPLICATE
96,138,User wants to learn Spanish,User wants to learn Spanish,goal,goal,2026-03-14,2026-02-10,1.0,DUPLICATE
96,152,User wants to learn Spanish,User is learning Spanish,goal,goal,2026-03-14,2026-02-03,0.919,NEAR_DUPLICATE
96,181,User wants to learn Spanish,User is learning Spanish,goal,goal,2026-03-14,2026-04-16,0.919,NEAR_DUPLICATE
96,182,User wants to learn Spanish,User is learning Spanish,goal,goal,2026-03-14,2026-04-08,0.919,NEAR_DUPLICATE
96,216,User wants to learn Spanish,User is learning Spanish,goal,goal,2026-03-14,2026-03-16,0.919,NEAR_DUPLICATE
96,270,User wants to learn Spanish,User wants to learn Spanish,goal,goal,2026-03-14,2026-05-16,1.0,DUPLICATE
96,331,User wants to learn Spanish,User wants to learn Spanish,goal,goal,2026-03-14,2026-07-03,1.0,DUPLICATE
96,358,User wants to learn Spanish,User wants to learn Spanish,goal,goal,2026-03-14,2026-06-29,1.0,DUPLICATE
96,420,User wants to learn Spanish,User is learning Spanish,goal,goal,2026-03-14,2026-06-06,0.919,NEAR_DUPLICATE
96,439,User wants to learn Spanish,User wants to learn Spanish,goal,goal,2026-03-14,2026-03-30,1.0,DUPLICATE
96,458,User wants to learn Spanish,User wants to learn Spanish,goal,goal,2026-03-14,2026-05-08,1.0,DUPLICATE
96,510,User wants to learn Spanish,User is learning Spanish,goal,goal,2026-03-14,2026-05-09,0.919,NEAR_DUPLICATE
96,511,User wants to learn Spanish,User is now fluent in Spanish,goal,fact,2026-03-14,2026-06-18,0.74,EVOLVING
97,141,User likes detailed explanations,User likes detailed explanations,preference,preference,2026-03-25,2026-07-04,1.0,DUPLICATE
97,219,User likes detailed explanations,User likes detailed explanations,preference,preference,2026-03-25,2026-04-01,1.0,DUPLICATE
97,352,User likes detailed explanations,User likes detailed explanations,preference,preference,2026-03-25,2026-02-22,1.0,DUPLICATE
97,393,User likes detailed explanations,User likes detailed explanations,preference,preference,2026-03-25,2026-02-05,1.0,DUPLICATE
97,435,User likes detailed explanations,User likes detailed explanations,preference,preference,2026-03-25,2026-05-14,1.0,DUPLICATE
97,473,User likes detailed explanations,User likes detailed explanations,preference,preference,2026-03-25,2026-06-21,1.0,DUPLICATE
98,387,User wants to get better at DSA,User wants to get better at DSA,goal,goal,2026-07-15,2026-05-19,1.0,DUPLICATE
99,190,User is left-handed,User is left-handed,fact,fact,2026-02-17,2026-02-26,1.0,DUPLICATE
99,262,User is left-handed,User is left-handed,fact,fact,2026-02-17,2026-03-29,1.0,DUPLICATE
99,423,User is left-handed,User is left-handed,fact,fact,2026-02-17,2026-03-05,1.0,DUPLICATE
99,431,User is left-handed,User is left-handed,fact,fact,2026-02-17,2026-02-28,1.0,DUPLICATE
100,115,User owns a dog named Max,User owns a dog named Max,fact,fact,2026-06-28,2026-03-18,1.0,DUPLICATE
100,118,User owns a dog named Max,User owns a dog named Max,fact,fact,2026-06-28,2026-06-29,1.0,DUPLICATE
100,177,User owns a dog named Max,User owns a dog named Max,fact,fact,2026-06-28,2026-05-12,1.0,DUPLICATE
100,193,User owns a dog named Max,User owns a dog named Max,fact,fact,2026-06-28,2026-04-07,1.0,DUPLICATE
100,264,User owns a dog named Max,User owns a dog named Max,fact,fact,2026-06-28,2026-07-24,1.0,DUPLICATE
100,300,User owns a dog named Max,User owns a dog named Max,fact,fact,2026-06-28,2026-06-06,1.0,DUPLICATE
100,301,User owns a dog named Max,User owns a dog named Max,fact,fact,2026-06-28,2026-07-17,1.0,DUPLICATE
100,412,User owns a dog named Max,User owns a dog named Max,fact,fact,2026-06-28,2026-03-20,1.0,DUPLICATE
100,484,User owns a dog named Max,User owns a dog named Max,fact,fact,2026-06-28,2026-07-20,1.0,DUPLICATE
101,135,Call the dentist to reschedule appointment,Call the dentist to reschedule appointment,task,task,2026-02-28,2026-02-05,1.0,DUPLICATE
101,144,Call the dentist to reschedule appointment,Call the dentist to reschedule appointment,task,task,2026-02-28,2026-05-03,1.0,DUPLICATE
101,151,Call the dentist to reschedule appointment,Call the dentist to reschedule appointment,task,task,2026-02-28,2026-07-20,1.0,DUPLICATE
101,175,Call the dentist to reschedule appointment,Call the dentist to reschedule appointment,task,task,2026-02-28,2026-06-03,1.0,DUPLICATE
101,204,Call the dentist to reschedule appointment,Call the dentist to reschedule appointment,task,task,2026-02-28,2026-04-05,1.0,DUPLICATE
101,246,Call the dentist to reschedule appointment,Call the dentist to reschedule appointment,task,task,2026-02-28,2026-04-03,1.0,DUPLICATE
101,253,Call the dentist to reschedule appointment,Call the dentist to reschedule appointment,task,task,2026-02-28,2026-03-13,1.0,DUPLICATE
